,2011-09-20,2011-09-19,2011-09-18,2011-09-17,2011-09-16,2011-09-15,2011-09-14,2011-09-13,2011-09-12,2011-09-11,2011-09-10,2011-09-09,2011-09-08,2011-09-07,2011-09-06,2011-09-05,2011-09-04,2011-09-03,2011-09-02,2011-09-01,2011-08-31,2011-08-30,2011-08-29,2011-08-28,2011-08-27,2011-08-26,2011-08-25,2011-08-24,2011-08-23,2011-08-22,2011-08-21
tav20,0.649083333,0.657166667,0.6619166670000001,0.663333333,0.664666667,0.665,0.6659166670000001,0.6655,0.666666667,0.669166667,0.671416667,0.6735,0.675083333,0.677166667,0.677083333,0.67775,0.678333333,0.6779166670000001,0.6765,0.6749166670000001,0.6738333329999999,0.6725,0.67125,0.668666667,0.6695,0.671333333,0.674,0.674666667,0.675333333,0.677083333,0.678416667
tav25,0.6598666670000001,0.665266667,0.667333333,0.6667333329999999,0.665666667,0.6646,0.663466667,0.663066667,0.6644,0.6662,0.668466667,0.671333333,0.6728666670000001,0.6744,0.6752,0.6767333329999999,0.677866667,0.6780666670000001,0.676333333,0.6772,0.677666667,0.6787333329999999,0.677533333,0.676333333,0.6756,0.675333333,0.674866667,0.6767333329999999,0.6777333329999999,0.6784,0.6784
tav30,0.646833333,0.650611111,0.651388889,0.650611111,0.6505,0.649333333,0.649611111,0.649388889,0.650111111,0.652444444,0.654388889,0.657833333,0.659555556,0.6609999999999999,0.661277778,0.663555556,0.666111111,0.668055556,0.667111111,0.666388889,0.6655,0.6647777779999999,0.663555556,0.663444444,0.662944444,0.662277778,0.661555556,0.662444444,0.662944444,0.663388889,0.664166667
",tmi",0.483333333,0.5166666670000001,0.553333333,0.6133333329999999,0.6183333329999999,0.6133333329999999,0.6233333329999999,0.6033333329999999,0.583333333,0.575,0.56,0.568333333,0.593333333,0.548333333,0.568333333,0.586666667,0.595,0.596666667,0.65,0.638333333,0.648333333,0.661666667,0.66,0.661666667,0.65,0.6416666670000001,0.6083333329999999,0.615,0.573333333,0.606666667,0.573333333
tmi5,0.583,0.6043333329999999,0.6143333329999999,0.6083333329999999,0.599666667,0.589,0.578,0.5760000000000001,0.569,0.567666667,0.573,0.578333333,0.579,0.599333333,0.6133333329999999,0.6256666670000001,0.639,0.651666667,0.654,0.656333333,0.655,0.644333333,0.635333333,0.6176666670000001,0.609,0.595333333,0.591333333,0.593,0.601333333,0.605666667,0.6196666670000001
tmi10,0.586,0.591166667,0.595166667,0.588666667,0.583666667,0.581,0.5781666670000001,0.5775,0.5841666670000001,0.5905,0.599333333,0.608666667,0.6153333329999999,0.6266666670000001,0.634833333,0.640333333,0.6416666670000001,0.6435,0.635833333,0.6326666670000001,0.625166667,0.617833333,0.614166667,0.6095,0.6073333329999999,0.6075,0.61,0.612,0.6195,0.6236666670000001,0.632
tmi15,0.581666667,0.586888889,0.589777778,0.5922222220000001,0.593555556,0.595888889,0.598444444,0.6022222220000001,0.607444444,0.612444444,0.6178888889999999,0.620555556,0.622,0.6236666670000001,0.626222222,0.6253333329999999,0.624888889,0.6266666670000001,0.6243333329999999,0.6236666670000001,0.6233333329999999,0.621444444,0.619777778,0.6188888889999999,0.618777778,0.619777778,0.621555556,0.624222222,0.628888889,0.6321111110000001,0.639777778
tmi20,0.592666667,0.599916667,0.60525,0.607666667,0.60925,0.610666667,0.609916667,0.6105,0.61,0.611583333,0.61225,0.61325,0.61475,0.618083333,0.621083333,0.623916667,0.625833333,0.62775,0.6276666670000001,0.628166667,0.628583333,0.62725,0.627,0.626083333,0.6263333329999999,0.6286666670000001,0.630583333,0.631916667,0.63575,0.6385,0.642083333
tmi25,0.6051333329999999,0.6088,0.611266667,0.609666667,0.6092,0.6076,0.6062,0.607,0.608266667,0.6104,0.613733333,0.6163333329999999,0.618,0.622,0.6252,0.628,0.6296,0.631933333,0.6316666670000001,0.6323333329999999,0.633933333,0.6333333329999999,0.6326,0.632133333,0.6326,0.632733333,0.6338,0.635866667,0.638933333,0.640133333,0.642333333
tmi30,0.592722222,0.594611111,0.595777778,0.596111111,0.596,0.5965,0.597166667,0.598166667,0.599888889,0.6023333329999999,0.6052777779999999,0.608222222,0.609611111,0.613166667,0.6156666670000001,0.617944444,0.6210555560000001,0.622722222,0.622444444,0.622833333,0.623277778,0.622722222,0.621888889,0.6220555560000001,0.6220555560000001,0.621888889,0.622555556,0.622388889,0.624888889,0.6255,0.627888889
tmx,0.6283333329999999,0.561666667,0.688333333,0.7533333329999999,0.7666666670000001,0.765,0.723333333,0.7483333329999999,0.701666667,0.62,0.678333333,0.61,0.67,0.715,0.721666667,0.725,0.7433333329999999,0.76,0.783333333,0.7583333329999999,0.793333333,0.786666667,0.7466666670000001,0.786666667,0.776666667,0.7566666670000001,0.745,0.725,0.755,0.75,0.763333333
tmx5,0.7070000000000001,0.7393333329999999,0.7513333329999999,0.741,0.711666667,0.694333333,0.671666667,0.6559999999999999,0.658666667,0.679,0.688333333,0.715,0.733,0.7466666670000001,0.754,0.7676666670000001,0.776333333,0.773666667,0.774333333,0.778,0.7706666670000001,0.762333333,0.758,0.7516666670000001,0.7463333329999999,0.7476666670000001,0.737,0.7390000000000001,0.737666667,0.719666667,0.705666667
tmx10,0.700666667,0.7055,0.703666667,0.699833333,0.695333333,0.691333333,0.693333333,0.6945,0.702666667,0.7165,0.728,0.7456666670000001,0.7533333329999999,0.7605,0.7659999999999999,0.769166667,0.769333333,0.765833333,0.763,0.762166667,0.759166667,0.7496666670000001,0.7485,0.7446666670000001,0.733,0.726666667,0.722166667,0.720166667,0.714833333,0.7105,0.7101666670000001
tmx15,0.696555556,0.708666667,0.7134444440000001,0.7154444440000001,0.714888889,0.716777778,0.721,0.720888889,0.726555556,0.737,0.742222222,0.751222222,0.7548888890000001,0.7575555559999999,0.7594444440000001,0.762,0.7585555559999999,0.7568888890000001,0.7545555559999999,0.748,0.7413333329999999,0.7355555559999999,0.732777778,0.7271111109999999,0.7224444440000001,0.722666667,0.722,0.721777778,0.7184444440000001,0.721333333,0.7234444440000001
tmx20,0.714333333,0.725583333,0.7285,0.730166667,0.730666667,0.73025,0.7313333329999999,0.730166667,0.732833333,0.7393333329999999,0.743583333,0.7476666670000001,0.750916667,0.752583333,0.7495,0.747916667,0.74575,0.743,0.738916667,0.7363333329999999,0.734666667,0.732083333,0.730833333,0.72675,0.727583333,0.7295,0.733083333,0.732833333,0.7314166670000001,0.732,0.73025
tmx25,0.7256,0.732933333,0.7344,0.7344666670000001,0.7338,0.733733333,0.7324666670000001,0.731933333,0.7338,0.7354,0.736,0.7396,0.741,0.7404666670000001,0.739866667,0.741266667,0.740933333,0.7394,0.736266667,0.737666667,0.737733333,0.738933333,0.737866667,0.7354666670000001,0.734866667,0.733733333,0.7322,0.7338,0.733866667,0.731533333,0.728666667
tmx30,0.712166667,0.718888889,0.7190000000000001,0.7183888890000001,0.717777778,0.7142777779999999,0.7132777779999999,0.711666667,0.711777778,0.7145,0.7154444440000001,0.7204444440000001,0.722611111,0.722833333,0.7222777779999999,0.724555556,0.7262777779999999,0.728166667,0.7260555559999999,0.725,0.723944444,0.722,0.720666667,0.719944444,0.7192777779999999,0.7171111109999999,0.715333333,0.7161111109999999,0.714888889,0.7140000000000001,0.713666667
landuse,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
