,2012-08-16,2012-08-15,2012-08-14,2012-08-13,2012-08-12,2012-08-11,2012-08-10,2012-08-09,2012-08-08,2012-08-07,2012-08-06,2012-08-05,2012-08-04,2012-08-03,2012-08-02,2012-08-01,2012-07-31,2012-07-30,2012-07-29,2012-07-26,2012-07-25,2012-07-24,2012-07-23,2012-07-22,2012-07-21,2012-07-20,2012-07-17
raf15,0.049111111,0.01,0.009666667,0.009555556,0.002444444,0.002444444,0.002444444,0.002444444,0.002444444,0.002666667,0.004888889,0.004888889,0.005,0.023777778,0.024222222,0.024333333,0.024666667000000003,0.029777777999999998,0.031666667,0.042888889000000006,0.044000000000000004,0.044000000000000004,0.043777777999999996,0.041555556,0.07088888900000001,0.07933333299999999,0.06
raf20,0.038666667,0.009333333000000001,0.00725,0.007166667,0.002,0.003666667,0.003666667,0.00375,0.017833333,0.018166667,0.01825,0.0185,0.024166667000000003,0.025583333,0.032833333,0.032833333,0.034,0.033,0.033,0.055,0.061416667,0.061416667,0.06125,0.059583332999999995,0.059583332999999995,0.075166667,0.062666667
raf25,0.0324,0.008933333,0.007333333,0.018533333,0.014533333,0.0146,0.0148,0.019333333,0.020466667,0.026266667,0.026266667,0.0272,0.027866667,0.027866667,0.027866667,0.027866667,0.045466667,0.049133333,0.049133333,0.049133333,0.061666667,0.063266667,0.063133333,0.0618,0.0618,0.061733333,0.050133332999999995
raf30,0.036666667,0.017166667,0.015944444,0.019666667,0.017055556,0.021888888999999998,0.021888888999999998,0.022666667,0.023222222,0.023222222,0.023222222,0.023222222,0.037888889,0.042166667000000005,0.042166667000000005,0.042166667000000005,0.042166667000000005,0.040944443999999997,0.05138888900000001,0.052722222,0.052722222,0.052722222,0.052611110999999995,0.0515,0.0515,0.051444444000000006,0.041777778
rfd,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
rfd5,0.8,0.8,0.6,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.4,0.4,0.6,0.8,0.8,0.8,1.0,1.0
rfd10,0.4,0.4,0.3,0.2,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.6,0.7,0.8,0.9,0.9,0.8,0.9,0.7
rfd15,0.26666666699999997,0.26666666699999997,0.2,0.2,0.133333333,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.133333333,0.2,0.2,0.26666666699999997,0.333333333,0.4,0.46666666700000003,0.533333333,0.533333333,0.666666667,0.7333333329999999,0.8,0.8,0.7333333329999999,0.666666667,0.7333333329999999,0.6
rfd20,0.25,0.25,0.2,0.15,0.1,0.1,0.15,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.55,0.6,0.6,0.6,0.65,0.7,0.7,0.65,0.6,0.6,0.55
rfd25,0.24,0.28,0.24,0.24,0.24,0.24,0.28,0.32,0.36,0.4,0.44,0.44,0.48,0.52,0.52,0.52,0.52,0.56,0.56,0.56,0.56,0.6,0.64,0.6,0.56,0.56,0.44
rfd30,0.3,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.36666666700000006,0.36666666700000006,0.4,0.433333333,0.433333333,0.433333333,0.433333333,0.46666666700000003,0.5,0.5,0.5,0.5,0.46666666700000003,0.533333333,0.533333333,0.533333333,0.533333333,0.5,0.46666666700000003,0.46666666700000003,0.36666666700000006
tav,0.681666667,0.648333333,0.693333333,0.696666667,0.666666667,0.715,0.701666667,0.736666667,0.7433333329999999,0.763333333,0.776666667,0.783333333,0.778333333,0.77,0.763333333,0.768333333,0.7383333329999999,0.725,0.7333333329999999,0.718333333,0.72,0.718333333,0.715,0.71,0.71,0.681666667,0.673333333
tav5,0.684,0.694666667,0.703333333,0.712666667,0.732,0.7443333329999999,0.7606666670000001,0.769,0.774333333,0.774333333,0.7726666670000001,0.7636666670000001,0.753,0.7456666670000001,0.7373333329999999,0.727666667,0.723666667,0.722666667,0.719666667,0.714666667,0.7070000000000001,0.693333333,0.688333333,0.6809999999999999,0.662333333,0.642333333,0.636333333
tav10,0.714166667,0.727666667,0.736166667,0.7435,0.753166667,0.7585,0.762166667,0.7609999999999999,0.76,0.755833333,0.750166667,0.7436666670000001,0.737833333,0.732666667,0.727833333,0.722,0.719166667,0.714833333,0.7065,0.6885,0.674666667,0.666333333,0.6635,0.658666667,0.652333333,0.652166667,0.654
tav15,0.733666667,0.739666667,0.741777778,0.744222222,0.7478888890000001,0.748222222,0.7493333329999999,0.748222222,0.7465555559999999,0.7433333329999999,0.738888889,0.7340000000000001,0.727555556,0.719555556,0.714666667,0.708333333,0.7002222220000001,0.690666667,0.684111111,0.673111111,0.670444444,0.668666667,0.666222222,0.6629999999999999,0.6557777779999999,0.652888889,0.649555556
tav20,0.732166667,0.735666667,0.737,0.738083333,0.7405,0.74025,0.7406666670000001,0.737916667,0.73325,0.729583333,0.7244166670000001,0.7160833329999999,0.70625,0.6995,0.695666667,0.690333333,0.68575,0.6835,0.681416667,0.6705,0.666416667,0.6635,0.6599166670000001,0.657416667,0.65275,0.649416667,0.649833333
tav25,0.7290000000000001,0.7314666670000001,0.731,0.7291333329999999,0.730066667,0.7284,0.725,0.7188,0.714466667,0.7114,0.7068,0.701333333,0.6974,0.6942666670000001,0.690866667,0.6866,0.681133333,0.677666667,0.6747333329999999,0.665133333,0.660933333,0.6596,0.6578666670000001,0.656066667,0.654066667,0.6546,0.656133333
tav30,0.706888889,0.707722222,0.7051666670000001,0.701333333,0.700277778,0.699333333,0.698,0.695,0.692888889,0.6905,0.687222222,0.6831666670000001,0.677277778,0.6728888890000001,0.669444444,0.665277778,0.662666667,0.659055556,0.655111111,0.6505,0.6485,0.6477222220000001,0.647555556,0.646833333,0.644944444,0.6447222220000001,0.645444444
",tmi",0.625,0.6216666670000001,0.635,0.615,0.6133333329999999,0.66,0.671666667,0.691666667,0.68,0.695,0.72,0.715,0.716666667,0.708333333,0.696666667,0.69,0.691666667,0.6283333329999999,0.678333333,0.653333333,0.656666667,0.675,0.671666667,0.648333333,0.653333333,0.6166666670000001,0.611666667
tmi5,0.629,0.639,0.650333333,0.663333333,0.679666667,0.691666667,0.700333333,0.705333333,0.711,0.711333333,0.705333333,0.700666667,0.6829999999999999,0.677,0.670333333,0.663333333,0.655666667,0.661333333,0.660666667,0.6609999999999999,0.653,0.6426666670000001,0.6416666670000001,0.6343333329999999,0.6173333329999999,0.6073333329999999,0.587666667
tmi10,0.660333333,0.669666667,0.6778333329999999,0.6871666670000001,0.6955,0.6985,0.7005,0.6941666670000001,0.6940000000000001,0.6908333329999999,0.684333333,0.6781666670000001,0.672166667,0.6688333329999999,0.666333333,0.662166667,0.658333333,0.657166667,0.651666667,0.639166667,0.630166667,0.621833333,0.616,0.611,0.605,0.602833333,0.590833333
tmi15,0.675333333,0.68,0.679555556,0.683777778,0.6871111109999999,0.686777778,0.685555556,0.683222222,0.6828888890000001,0.681333333,0.676555556,0.672444444,0.6657777779999999,0.660111111,0.658111111,0.652888889,0.6446666670000001,0.640555556,0.634777778,0.6236666670000001,0.619555556,0.615222222,0.611111111,0.6053333329999999,0.600888889,0.600333333,0.595444444
tmi20,0.672333333,0.6739166670000001,0.675,0.6779999999999999,0.680916667,0.680333333,0.679416667,0.675666667,0.6728333329999999,0.671416667,0.6659999999999999,0.658666667,0.651166667,0.645333333,0.641166667,0.6365833329999999,0.6316666670000001,0.63,0.626583333,0.615916667,0.6135,0.6114166670000001,0.607083333,0.605166667,0.600916667,0.5995,0.5945
tmi25,0.6700666670000001,0.671333333,0.6706,0.670933333,0.6730666670000001,0.671133333,0.667,0.662,0.658466667,0.6552,0.650333333,0.645466667,0.6406,0.6366666670000001,0.6332,0.628066667,0.623866667,0.623066667,0.621266667,0.612933333,0.6102,0.607866667,0.6052,0.6024666670000001,0.6004,0.600666667,0.598066667
tmi30,0.652055556,0.6517222220000001,0.6495,0.647888889,0.647166667,0.645611111,0.643166667,0.639888889,0.637055556,0.634222222,0.630555556,0.625444444,0.621111111,0.617777778,0.6156666670000001,0.612166667,0.609444444,0.607444444,0.604444444,0.598777778,0.596944444,0.5952222220000001,0.5942222220000001,0.592833333,0.590666667,0.5902777779999999,0.5872777779999999
tmx,0.74,0.701666667,0.76,0.783333333,0.715,0.7616666670000001,0.7333333329999999,0.811666667,0.808333333,0.831666667,0.84,0.846666667,0.845,0.838333333,0.841666667,0.836666667,0.798333333,0.776666667,0.795,0.791666667,0.791666667,0.793333333,0.763333333,0.765,0.773333333,0.7533333329999999,0.735
tmx5,0.7443333329999999,0.7506666670000001,0.7609999999999999,0.7659999999999999,0.789333333,0.805,0.827666667,0.834333333,0.840333333,0.842333333,0.841666667,0.8320000000000001,0.818333333,0.809666667,0.800333333,0.790333333,0.789,0.792,0.791666667,0.777333333,0.7696666670000001,0.7496666670000001,0.7423333329999999,0.7363333329999999,0.716,0.685333333,0.6859999999999999
tmx10,0.774666667,0.789166667,0.797666667,0.8031666670000001,0.8158333329999999,0.823333333,0.829833333,0.826333333,0.825,0.821333333,0.816,0.8105,0.8051666670000001,0.800666667,0.7928333329999999,0.785666667,0.783166667,0.780833333,0.7706666670000001,0.7466666670000001,0.7275,0.7170000000000001,0.715166667,0.711166667,0.703666667,0.701333333,0.716666667
tmx15,0.797,0.803444444,0.804555556,0.805333333,0.810666667,0.812333333,0.816222222,0.814888889,0.813888889,0.809333333,0.804333333,0.799444444,0.793333333,0.783666667,0.7759999999999999,0.769222222,0.760777778,0.7490000000000001,0.741888889,0.728222222,0.7241111109999999,0.7231111109999999,0.723,0.7232222220000001,0.712555556,0.7072222220000001,0.708
tmx20,0.795333333,0.7998333329999999,0.801416667,0.8019166670000001,0.804333333,0.8045,0.8065,0.803583333,0.7978333329999999,0.792583333,0.787333333,0.7785833329999999,0.766333333,0.758833333,0.754,0.748416667,0.743416667,0.741083333,0.74025,0.72875,0.722833333,0.71875,0.715833333,0.7150833329999999,0.71025,0.70475,0.711583333
tmx25,0.792466667,0.795333333,0.7950666670000001,0.791466667,0.791933333,0.7908666670000001,0.7884,0.779933333,0.775133333,0.7716666670000001,0.767066667,0.761133333,0.7565333329999999,0.754133333,0.750933333,0.7482,0.7408,0.736666667,0.7333333329999999,0.723666667,0.717733333,0.7172666670000001,0.7162666670000001,0.716533333,0.716333333,0.7181333329999999,0.7231333329999999
tmx30,0.7669444440000001,0.768055556,0.765111111,0.759,0.758111111,0.7575555559999999,0.757277778,0.7535,0.7508888890000001,0.7491111109999999,0.7465,0.743888889,0.736166667,0.730666667,0.726333333,0.721944444,0.720333333,0.7170000000000001,0.711944444,0.7092222220000001,0.7084444440000001,0.708611111,0.7095,0.7094444440000001,0.707888889,0.709277778,0.715888889
landuse,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
